network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
1.68.0.0/14,1814991,1814991,,0,0
1.72.0.0/13,1861060,1861060,,0,0
1.80.0.0/12,1814991,1814991,,0,0
1.96.0.0/12,1835841,1835841,,0,0
1.112.0.0/14,1861060,1861060,,0,0
1.116.0.0/14,1814991,1814991,,0,0
1.120.0.0/13,2077456,2077456,,0,0
1.128.0.0/11,2077456,2077456,,0,0
1.160.0.0/13,1668284,1668284,,0,0
1.168.0.0/14,1668284,1668284,,0,0
1.172.0.0/16,1668284,1668284,,0,0
1.173.0.0/18,1668284,1668284,,0,0
1.173.64.0/20,1668284,1668284,,0,0
1.173.80.0/21,1668284,1668284,,0,0
1.173.88.0/22,1668284,1668284,,0,0
1.173.92.0/23,1668284,1668284,,0,0
1.173.94.0/26,1668284,1668284,,0,0
1.173.94.64/28,1668284,1668284,,0,0
1.173.94.80/29,1668284,1668284,,0,0
1.173.94.88/30,1668284,1668284,,0,0
1.173.94.92/30,2017370,1668284,,0,0
1.173.94.96/27,1668284,1668284,,0,0
1.173.94.128/25,1668284,1668284,,0,0
1.173.95.0/24,1668284,1668284,,0,0
1.173.96.0/19,1668284,1668284,,0,0
1.173.128.0/17,1668284,1668284,,0,0
1.174.0.0/15,1668284,1668284,,0,0
1.176.0.0/15,1835841,1835841,,0,0
1.178.0.0/16,2077456,2077456,,0,0
1.179.0.0/17,2077456,2077456,,0,0
1.179.128.0/17,1605651,1605651,,0,0
1.180.0.0/14,1814991,1814991,,0,0
1.184.0.0/15,1814991,1814991,,0,0
1.186.0.0/15,1269750,1269750,,0,0
1.188.0.0/14,1814991,1814991,,0,0
1.192.0.0/13,1814991,1814991,,0,0
1.200.0.0/16,1668284,1668284,,0,0
1.201.0.0/16,1835841,1835841,,0,0
1.202.0.0/15,1814991,1814991,,0,0
1.204.0.0/14,1814991,1814991,,0,0
1.208.0.0/12,1835841,1835841,,0,0
1.224.0.0/11,1835841,1835841,,0,0
2.0.0.0/12,3017382,3017382,,0,0
2.16.0.0/22,6255148,,,0,0
2.16.4.0/23,6255148,,,0,0
2.16.6.0/23,2921044,2921044,,0,0
2.16.8.0/30,6255148,,,0,0
2.16.8.4/32,6255148,,,0,0
2.16.8.5/32,2510769,,,0,0
2.16.8.6/31,2510769,,,0,0
2.16.8.8/30,6255148,,,0,0
2.16.8.12/30,2510769,,,0,0
2.16.8.16/30,6255148,,,0,0
2.16.8.20/30,2510769,,,0,0
2.16.8.24/30,6255148,,,0,0
2.16.8.28/30,2510769,,,0,0
2.16.8.32/30,6255148,,,0,0
2.16.8.36/30,2510769,,,0,0
2.16.8.40/30,6255148,,,0,0
2.16.8.44/30,2510769,,,0,0
2.16.8.48/30,6255148,,,0,0
2.16.8.52/30,2510769,,,0,0
2.16.8.56/30,6255148,,,0,0
2.16.8.60/30,2510769,,,0,0
2.16.8.64/30,6255148,,,0,0
2.16.8.68/30,2510769,,,0,0
2.16.8.72/30,6255148,,,0,0
2.16.8.76/30,2510769,,,0,0
2.16.8.80/30,6255148,,,0,0
2.16.8.84/31,2510769,,,0,0
2.16.8.86/32,6255148,,,0,0
2.16.8.87/32,2510769,,,0,0
2.16.8.88/30,6255148,,,0,0
2.16.8.92/30,2510769,,,0,0
2.16.8.96/27,6255148,,,0,0
2.16.8.128/25,6255148,,,0,0
2.16.9.0/24,6255148,,,0,0
2.16.10.0/25,6255148,,,0,0
2.16.10.128/26,6255148,,,0,0
2.16.10.192/30,6255148,,,0,0
2.16.10.196/30,2017370,,,0,0
2.16.10.200/30,6255148,,,0,0
2.16.10.204/30,2017370,,,0,0
2.16.10.208/30,6255148,,,0,0
2.16.10.212/30,2017370,,,0,0
2.16.10.216/30,6255148,,,0,0
2.16.10.220/32,6255148,,,0,0
2.16.10.221/32,2017370,,,0,0
2.16.10.222/31,2017370,,,0,0
2.16.10.224/30,6255148,,,0,0
2.16.10.228/30,2017370,,,0,0
2.16.10.232/30,6255148,,,0,0
2.16.10.236/30,2017370,,,0,0
2.16.10.240/30,6255148,,,0,0
2.16.10.244/31,2017370,,,0,0
2.16.10.246/31,6255148,,,0,0
2.16.10.248/29,6255148,,,0,0
2.16.11.0/24,6255148,,,0,0
2.16.12.0/22,6255148,,,0,0
2.16.16.0/23,6255148,,,0,0
2.16.18.0/24,6255148,,,0,0
2.16.19.0/28,6255148,,,0,0
2.16.19.16/30,6255148,,,0,0
2.16.19.20/30,390903,,,0,0
2.16.19.24/30,6255148,,,0,0
2.16.19.28/30,390903,,,0,0
2.16.19.32/27,6255148,,,0,0
2.16.19.64/26,6255148,,,0,0
2.16.19.128/25,6255148,,,0,0
2.16.20.0/23,6255148,,,0,0
2.16.22.0/27,6255148,,,0,0
